block_size,grid_scale_x,use_shared,use_unroll,register_limit,work_per_thread,stride_access,threads_per_block,gflops,msec_per_matmul,pass_fail,avg_power_watts,exec_time_sec,power_log_duration,exit_code,cuda_error_str,power_log_path
4,1.5,1,0,32,4,1,16,93.867341,0.010909,PASS,41.913,0.227,61,0,,power_logs_all_configs/power_b4_g1.5_s1_u0_r32_w4_str1.log
4,1.5,1,0,32,4,2,16,95.332670,0.010741,FAIL,41.813,0.227,61,1,,power_logs_all_configs/power_b4_g1.5_s1_u0_r32_w4_str2.log
4,1.5,1,0,64,1,1,16,19.240636,0.013305,PASS,41.889,0.228,61,0,,power_logs_all_configs/power_b4_g1.5_s1_u0_r64_w1_str1.log
4,1.5,1,0,64,1,2,16,23.832221,0.010742,FAIL,41.884,0.228,61,1,,power_logs_all_configs/power_b4_g1.5_s1_u0_r64_w1_str2.log
4,1.5,1,0,64,2,1,16,61.001187,0.008393,PASS,41.918,0.233,61,0,,power_logs_all_configs/power_b4_g1.5_s1_u0_r64_w2_str1.log
4,1.5,1,0,64,2,2,16,47.709923,0.010732,FAIL,41.922,0.236,61,1,,power_logs_all_configs/power_b4_g1.5_s1_u0_r64_w2_str2.log
4,1.5,1,0,64,4,1,16,115.830121,0.008841,PASS,41.890,0.199,61,0,,power_logs_all_configs/power_b4_g1.5_s1_u0_r64_w4_str1.log
4,1.5,1,0,64,4,2,16,95.359186,0.010738,FAIL,41.832,0.235,61,1,,power_logs_all_configs/power_b4_g1.5_s1_u0_r64_w4_str2.log
4,1.5,1,0,128,1,1,16,19.245574,0.013302,PASS,41.856,0.236,61,0,,power_logs_all_configs/power_b4_g1.5_s1_u0_r128_w1_str1.log
4,1.5,1,0,128,1,2,16,23.839796,0.010738,FAIL,41.803,0.236,61,1,,power_logs_all_configs/power_b4_g1.5_s1_u0_r128_w1_str2.log
4,1.5,1,0,128,2,1,16,61.025219,0.008390,PASS,41.890,0.233,61,0,,power_logs_all_configs/power_b4_g1.5_s1_u0_r128_w2_str1.log
4,1.5,1,0,128,2,2,16,47.709923,0.010732,FAIL,41.860,0.195,61,1,,power_logs_all_configs/power_b4_g1.5_s1_u0_r128_w2_str2.log
4,1.5,1,0,128,4,1,16,116.144008,0.008817,PASS,41.987,0.232,61,0,,power_logs_all_configs/power_b4_g1.5_s1_u0_r128_w4_str1.log
4,1.5,1,0,128,4,2,16,95.057029,0.010772,FAIL,42.111,0.301,61,1,,power_logs_all_configs/power_b4_g1.5_s1_u0_r128_w4_str2.log
4,1.5,1,1,32,1,1,16,20.155872,0.012701,PASS,42.069,0.294,61,0,,power_logs_all_configs/power_b4_g1.5_s1_u1_r32_w1_str1.log
4,1.5,1,1,32,1,2,16,35.612536,0.007188,FAIL,42.170,0.297,61,1,,power_logs_all_configs/power_b4_g1.5_s1_u1_r32_w1_str2.log
4,1.5,1,1,32,2,1,16,35.452614,0.014442,PASS,42.048,0.294,61,0,,power_logs_all_configs/power_b4_g1.5_s1_u1_r32_w2_str1.log
4,1.5,1,1,32,2,2,16,53.956833,0.009489,FAIL,42.045,0.290,61,1,,power_logs_all_configs/power_b4_g1.5_s1_u1_r32_w2_str2.log
4,1.5,1,1,32,4,1,16,69.962687,0.014636,PASS,42.021,0.302,61,0,,power_logs_all_configs/power_b4_g1.5_s1_u1_r32_w4_str1.log
4,1.5,1,1,32,4,2,16,105.633804,0.009694,FAIL,42.076,0.292,61,1,,power_logs_all_configs/power_b4_g1.5_s1_u1_r32_w4_str2.log
4,1.5,1,1,64,1,1,16,20.161291,0.012698,PASS,42.026,0.300,61,0,,power_logs_all_configs/power_b4_g1.5_s1_u1_r64_w1_str1.log
4,1.5,1,1,64,1,2,16,35.178237,0.007277,FAIL,42.035,0.293,61,1,,power_logs_all_configs/power_b4_g1.5_s1_u1_r64_w1_str2.log
4,1.5,1,1,64,2,1,16,36.041720,0.014206,PASS,42.025,0.302,61,0,,power_logs_all_configs/power_b4_g1.5_s1_u1_r64_w2_str1.log
4,1.5,1,1,64,2,2,16,53.721921,0.009531,FAIL,42.085,0.295,61,1,,power_logs_all_configs/power_b4_g1.5_s1_u1_r64_w2_str2.log
